{LG}	spn
兼	k iː˥ m
冇	m ow˨˧
冊	tsʰ aː˧ k̚
再	ts ɔːj˧
冒	m ow˨
冚	h ɐ˨ m
冚	kʰ ɐ˨˥ m
冧	l ɐ˥ m
冧	l ɐ˧ m
冬	t ʊ˥ ŋ
冰	p ɪ˥ ŋ
冷	l aː˨˧ ŋ
准	ts ɵ˨˥ n
凈	ts ɛː˨ ŋ
凈	ts ɪ˨ ŋ
凌	l ɪ˨˩ ŋ
凍	t ʊ˧ ŋ
凡	f aː˨˩ n
凸	t ɐ˨ t̚
出	tsʰ ɵ˥ t̚
凼	tʰ ɐ˨˧ m
刀	t ow˥
分	f ɐ˥ n
分	f ɐ˨ n
切	tsʰ ɐi˧
切	tsʰ iː˧ t̚
刑	j ɪ˨˩ ŋ
列	l iː˨ t̚
初	tsʰ ɔː˥
判	pʰ uː˧ n
別	p iː˨ t̚
利	l ɐi˨
利	l ej˨
刪	s aː˥ n
刮	kʷ aː˧ t̚
到	t ow˨˥
到	t ow˧
制	ts ɐi˧
刷	tsʰ aː˧ t̚
券	k yː˧ n
券	h yː˧ n
刹	s aː˧ t̚
刺	tsʰ iː˧
刻	h ɐ˥ k̚
則	ts ɐ˥ k̚
前	tsʰ iː˨˩ n
剩	s ɪ˨ ŋ
剩	ts ɪ˨ ŋ
剪	ts iː˨˥ n
副	f uː˧
割	k ɔː˧ t̚
創	tsʰ ɔː˧ ŋ
劃	w aː˨ k̚
劇	kʰ ɛː˨ k̚
劈	pʰ ɛː˧ k̚
劉	l ɐw˨˩
劍	k iː˧ m
劑	ts ɐi˥
力	l ɪ˨ k̚
功	k ʊ˥ ŋ
加	k aː˥
加	k aː˧
助	ts ɔː˨
努	n ow˨˧
劫	k iː˧ p̚
勁	k ɪ˧ ŋ
勁	k ɪ˨ ŋ
勉	m iː˨˧ n
動	t ʊ˨ ŋ
務	m ow˨
勝	s ɪ˥ ŋ
勝	s ɪ˧ ŋ
勞	l ow˨˩
募	m ow˨
勢	s ɐi˧
勳	f ɐ˥ n
勵	l ɐi˨
勸	h yː˧ n
勾	ŋ ɐw˥
勿	m ɐ˨ t̚
包	p aːw˥
化	f aː˨˥
化	f aː˧
北	p ɐ˥ k̚
匙	s iː˨˩
匠	ts œː˨ ŋ
匪	f ej˨˥
匯	w uːj˨
匹	pʰ ɐ˥ t̚
匿	n ej˥
匿	n ɪ˥ k̚
區	kʰ ɵɥ˥
十	s ɐ˥ p̚
十	s ɐ˨ p̚
千	tsʰ iː˥ n
升	s ɪ˥ ŋ
午	ŋ̍˨˧
半	p uː˧ n
卒	ts ɵ˥ t̚
卓	tsʰ œː˧ k̚
協	h iː˧ p̚
南	n aː˨˩ m
博	p ɔː˧ k̚
卜	p ʊ˥ k̚
占	ts iː˥ m
卡	kʰ aː˥
卡	kʰ aː˥ t̚
卦	kʷ aː˧
印	j ɐ˧ n
危	ŋ ɐi˨˩
即	ts ɪ˥ k̚
卷	k yː˨˥ n
卸	s ɛː˧
卻	kʰ œː˧ k̚
卽	ts ɪ˥ k̚
厄	aː˥ k̚
厘	l ej˨˩
厚	h ɐw˨˧
原	j yː˨˩ n
厭	j iː˧ m
厲	l ɐi˨
厲	l ej˨
去	h ɵɥ˧
參	tsʰ aː˥ m
參	s ɐ˥ m
又	j ɐw˨
叉	tsʰ aː˥
及	kʰ ɐ˨ p̚
友	j ɐw˨˥
友	j ɐw˨˧
反	f aː˨˥ n
叔	s ʊ˥ k̚
取	tsʰ ɵɥ˨˥
受	s ɐw˨
叛	p uː˨ n
口	h ɐw˥
口	h ɐw˨˥
古	k uː˨˥
句	k ɵɥ˧
另	l ɪ˨ ŋ
只	ts iː˨˥
叫	k iːw˧
叭	p aː˥
叮	t ɪ˥ ŋ
可	h ɔː˨˥
台	tʰ ɔːj˨˩
史	s iː˨˥
右	j ɐw˨
司	s iː˥
叻	l ɛː˥ k̚
叻	l ɪ˥ k̚
吂	m ɔː˨˩ ŋ
吃	h ɛː˧ k̚
各	k ɔː˧ k̚
合	h ɐ˨ p̚
吉	k ɐ˥ t̚
吊	t iːw˧
同	tʰ ʊ˨˩ ŋ
名	m ɛː˨˥ ŋ
名	m ɪ˨˩ ŋ
吐	tʰ ow˧
向	h œː˧ ŋ
吓	h aː˨˥
吖	aː˥
君	kʷ ɐ˥ n
吞	tʰ ɐ˥ n
吟	j ɐ˨˩ m
否	f ɐw˨˥
含	h ɐ˨˩ m
吱	ts iː˥
吳	ŋ̍˨˩
吵	tsʰ aːw˨˥
吸	kʰ ɐ˥ p̚
吹	tsʰ ɵɥ˥
呀	aː˨˩
呀	aː˨
呃	ŋ aː˥ k̚
呆	ŋ ɔːj˨˩
告	k ow˧
告	k ʊ˥ k̚
呢	l ɛː˥
呢	l ɛː˨˩
呢	n ɛː˥
呢	n ej˥
呢	n iː˥
周	ts ɐw˥
味	m ej˨˥
味	m ej˨
呵	h ɔː˥
呵	h ɔː˨˥
呷	k aː˧ t̚
呷	h aː˧ p̚
呻	s ɐ˥ n
呻	s ɐ˧ n
呼	f uː˥
命	m ɛː˨ ŋ
命	m ɪ˨ ŋ
咀	ts ɵɥ˨˥
咁	k ɐ˨˥ m
咁	k ɐ˧ m
咋	ts aː˥
咋	ts aː˧
和	w ɔː˨˩
和	w ɔː˨
咓	aː˨˧
咓	ŋ aː˨˧
咖	k aː˧
咖	kʰ aː˥
咗	ts ɔː˨˥
咦	j iː˨˥
咧	l ɛː˨˩
咧	l iː˨ t̚
咩	m ɛː˥
咪	m ɐi˥
咪	m ɐi˨˧
咪	m ɐi˨
咪	m iː˨˩
咬	ŋ aːw˨˧
咳	kʰ ɐ˥ t̚
咸	h aː˨˩ m
品	p ɐ˨˥ n
哂	tsʰ ɐ˨˥ n
哄	h ʊ˧ ŋ
哇	w aː˥
哈	h aː˥
哋	t ej˨
哎	aːj˥
哎	ɐi˥
員	j yː˨˩ n
哥	k ɔː˥
哥	k ɔː˨˩
哦	ɔː˨˥
哦	ɔː˨˩
哩	l ɛː˨˧
哩	l ej˨˧
哲	ts iː˧ t̚
唉	aːj˥
唏	h ej˥
唐	tʰ ɔː˨˩ ŋ
唔	m̩˨˩
唔	ŋ̍˨˧
唞	tʰ ɐw˨˥
唥	l aː˥ ŋ
唥	l aː˨ ŋ
唧	ts ɛː˥ k̚
唪	p aː˨ ŋ
唪	f ʊ˨˥ ŋ
唪	f ʊ˨ ŋ
唯	w ɐi˨˩
唱	tsʰ œː˧ ŋ
唳	l ɐi˨
唳	l ɵɥ˨
唳	l iː˨ t̚
唷	j ɔː˥
唷	j ɔː˧
唸	n iː˨ m
商	s œː˥ ŋ
啊	aː˧
啊	aː˨
啊	ɔː˧
問	m ɐ˨ n
啓	kʰ ɐi˨˥
啖	t aː˨ m
啟	kʰ ɐi˨˥
啡	f ɛː˥
啤	p ɛː˥
啤	pʰ ɛː˥
啦	l aː˥
啩	kʷ aː˧
啫	ts ɛː˥
啱	ŋ aː˥ m
啲	t iː˥
啲	t iː˥ t̚
喂	w ɐi˧
喃	n aː˨˩ m
善	s iː˨ n
喇	l aː˧
喉	h ɐw˨˩
喊	h aː˧ m
喎	w ɔː˧
喎	w ɔː˨˧
喐	j ʊ˥ k̚
喑	j ɐ˥ m
喑	ŋ ɐ˨ m
喔	ɐ˥ k̚
喜	h ej˨˥
喝	h ɔː˧ t̚
喪	s ɔː˥ ŋ
喪	s ɔː˧ ŋ
喫	h ɛː˧ k̚
喬	kʰ iːw˨˩
單	t aː˥ n
喺	h ɐi˨˥
喻	j yː˨
嗌	aːj˧
嗚	w uː˥
嗟	ts ɛː˥
嗦	s ɔː˥
嗬	h ɔː˨˥
嗬	h ɔː˨˩
嗮	s aːj˧
嗯	ŋ̍˨
嗰	k ɔː˨˥
嗰	k ɔː˧
嗱	l aː˨˥
嗱	l aː˨˩
嗱	n aː˥
嗱	n aː˨˩
嗲	t ɛː˨˥
嗷	ŋ ow˨˩
嘅	k ɛː˧
嘆	tʰ aː˧ n
嘈	tsʰ ow˨˩
嘉	k aː˥
嘎	k ɐ˨˩
嘎	k aː˨˩
嘔	ɐw˨˥
嘗	s œː˨˩ ŋ
嘛	m aː˧
嘛	m aː˨˧
嘜	m ɐ˥ k̚
嘞	l ɐ˧
嘞	l aː˧ k̚
嘞	l ɐ˧ k̚
嘢	j ɛː˨˧
嘥	s aːj˥
嘩	w aː˥
嘲	ts aːw˥
嘴	ts ɵɥ˨˥
噃	p ɔː˧
噉	k ɐ˨˥ m
噏	ɐ˥ p̚
噏	ŋ ɐ˥ p̚
噓	h ɵɥ˥
噚	tsʰ ɐ˧ m
噚	tsʰ ɐ˨˩ m
噚	tsʰ ɐ˨ m
噢	j yː˨˥
噢	ow˧
器	h ej˧
噪	tsʰ ow˧
噬	s ɐi˨˩
噬	s ɐi˨
噴	pʰ ɐ˧ n
噹	t ɔː˥ ŋ
嚇	h aː˧ k̚
嚟	l ɐi˨˥
嚟	l ɐi˨˩
嚟	l ej˨˩
嚴	j iː˨˩ m
嚸	t iː˨˥ m
嚼	ts œː˧ k̚
嚿	k ɐw˨
囈	ŋ ɐi˨
囉	l ɔː˥
囉	l ɔː˧
囖	l ɔː˨˩
四	s ej˧
回	w uːj˨˩
因	j ɐ˥ n
囤	tʰ yː˨˩ n
困	kʷʰ ɐ˧ n
固	k uː˧
圈	h yː˥ n
國	kʷ ɔː˧ k̚
圍	w ɐi˨˩
園	j yː˨˩ n
圓	j yː˨˥ n
圓	j yː˨˩ n
圖	tʰ ow˨˩
圖	tʰ ow˨˧
團	tʰ yː˨˩ n
土	tʰ ow˨˥
在	ts ɔːj˨
地	t ej˨˥
地	t ej˨
圳	ts ɐ˧ n
圾	s aː˧ p̚
址	ts iː˨˥
坊	f ɔː˥ ŋ
坎	h ɐ˥ m
坎	h ɐ˨˥ m
