{LG}	spn
或	w aː˨ k̚
戚	tsʰ ɪ˥ k̚
戥	t ɐ˨ ŋ
截	ts iː˨ t̚
戯	f uː˥
戯	h ej˧
戰	ts iː˧ n
戲	h ej˧
戴	t aːj˧
戶	w uː˨
户	w uː˨
房	f ɔː˨˥ ŋ
房	f ɔː˨˩ ŋ
所	s ɔː˨˥
手	s ɐw˨˥
才	tsʰ ɔːj˨˩
扎	ts aː˧ t̚
打	t aː˥
打	t aː˨˥
打	t aː˧
托	tʰ ɔː˧ k̚
扣	kʰ ɐw˧
扭	n ɐw˨˥
扮	p aː˨ n
扯	tsʰ ɛː˨˥
批	pʰ ɐi˥
找	ts aːw˨˥
承	s ɪ˨˩ ŋ
技	k ej˨
抄	tsʰ aːw˥
把	p aː˨˥
抌	t ɐ˨˥ m
抑	j ɪ˥ k̚
抓	ts aːw˨˥
投	tʰ ɐw˨˩
抖	t ɐw˨˥
抖	tʰ ɐw˨˥
抗	kʰ ɔː˧ ŋ
折	ts iː˧ t̚
抨	pʰ aː˥ ŋ
抨	pʰ ɪ˥ ŋ
抨	pʰ ɪ˨˩ ŋ
披	pʰ ej˥
抬	tʰ ɔːj˨˩
抱	pʰ ow˨˧
抵	t ɐi˨˥
抹	m aː˧ t̚
抹	m uː˧ t̚
抹	m uː˨ t̚
押	aː˧ t̚
抽	tsʰ ɐw˥
拆	tsʰ aː˧ k̚
拇	m ow˨˧
拉	l aːj˥
拋	pʰ aːw˥
拍	pʰ aː˧ k̚
拎	l ɪ˥ ŋ
拏	n aː˨˩
拐	kʷ aːj˨˥
拒	kʰ ɵɥ˨˧
拔	p ɐ˨ t̚
拖	tʰ ɔː˥
拗	aːw˧
拘	kʰ ɵɥ˥
拚	pʰ uː˧ n
招	ts iːw˥
拜	p aːj˥
拜	p aːj˧
括	kʷ aː˧ t̚
括	kʰ uː˧ t̚
拮	k ɐ˥ t̚
拯	tsʰ ɪ˨˥ ŋ
拳	kʰ yː˨˩ n
拼	pʰ ɪ˧ ŋ
拿	n aː˨˥
拿	n aː˨˩
持	tsʰ iː˨˩
指	ts iː˨˥
按	ɔː˧ n
挑	tʰ iːw˥
挖	w aː˧ t̚
振	ts ɐ˧ n
挺	tʰ ɪ˨˥ ŋ
挺	tʰ ɪ˨˧ ŋ
捉	ts ʊ˥ k̚
捍	h ɔː˨˥ n
捍	h ɔː˨˧ n
捍	h ɔː˨ n
捐	k yː˥ n
捧	p ʊ˨˥ ŋ
捧	pʰ ʊ˨˥ ŋ
捨	s ɛː˨˥
捱	ŋ aːj˨˩
捲	k yː˨˥ n
捷	ts iː˧ t̚
捷	ts iː˨ t̚
捽	tsʰ yː˧ t̚
捽	ts ɵ˥ t̚
捽	ts yː˧ t̚
捽	ts yː˨ t̚
掂	t iː˧ m
掂	t iː˨ m
掃	s ow˧
授	s ɐw˨
掉	t iːw˨
掌	ts œː˨˥ ŋ
排	pʰ aːj˨˥
排	pʰ aːj˨˩
掗	aː˨˥
掗	aː˧
掗	ŋ aː˨
掘	kʷ ɐ˨ t̚
掙	ts ɐ˥ ŋ
掛	kʷ aː˧
掟	t ɛː˧ ŋ
掟	t ɛː˨ ŋ
掠	l œː˨ k̚
採	tsʰ ɔːj˨˥
探	tʰ aː˧ m
掣	ts ɐi˧
接	ts iː˧ p̚
控	h ʊ˧ ŋ
推	tʰ ɵɥ˥
掩	j iː˨˥ m
措	tsʰ ow˧
掹	m ɐ˥ ŋ
掹	m ɐ˧ ŋ
揀	k aː˨˥ n
揈	f ɐ˧ ŋ
揈	f ɐ˨˩ ŋ
揈	f ɪ˨ ŋ
揈	kʷ ɐ˥ ŋ
描	m iːw˨˩
提	tʰ ɐi˨˩
插	tsʰ aː˧ p̚
揚	j œː˨˩ ŋ
換	w uː˨ n
揞	ɐ˨˥ m
握	aː˥ k̚
握	ɐ˥ k̚
揦	l aː˨˥
揦	l aː˨˧
揪	tsʰ ɐw˥
揪	ts ɐw˥
揭	kʰ iː˧ t̚
揮	f ɐi˥
援	w uː˨˩ n
揸	ts aː˥
揼	t ɐ˥ m
揼	t ɐ˨˥ m
揼	t ɐ˧ m
揼	t ɐ˨ p̚
揾	w ɐ˧ n
搇	kʰ ɐ˨˥ m
搏	p ɔː˧ k̚
搜	s ɐw˨˥
搞	k aːw˨˥
搣	m iː˥ t̚
搣	m iː˨ t̚
搬	p uː˥ n
搭	t aː˧ p̚
搵	w ɐ˨˥ n
搶	tsʰ œː˨˥ ŋ
摀	ŋ̍˨
摀	w uː˥
摀	w uː˨˥
摑	kʷ aː˧ k̚
摑	kʷ ɔː˧ k̚
摟	l ɐw˨˥
摟	l ɐw˧
摩	m ɔː˥
摩	m ɔː˨˩
摯	ts iː˧
摸	m ɔː˥
摸	m ɔː˨˥
撈	l aːw˥
撈	l aːw˨˩
撈	l ow˥
撐	tsʰ aː˥ ŋ
撐	tsʰ aː˧ ŋ
撒	s aː˧ t̚
撚	l ɐ˨˥ n
撚	n ɐ˨˥ n
撞	ts ɔː˨ ŋ
撤	tsʰ iː˧ t̚
撥	p uː˨ t̚
撩	l iːw˥
撩	l iːw˨˥
撩	l iːw˨˩
撬	k iːw˨
播	p ɔː˧
撳	k ɐ˨ m
撻	tʰ aː˥ t̚
擁	j ʊ˨˥ ŋ
擅	s iː˨ n
擇	ts aː˨ k̚
擊	k ɪ˥ k̚
擋	t ɔː˨˥ ŋ
操	tsʰ ow˥
擎	kʰ ɛː˨˩ ŋ
擎	kʰ ɪ˨˩ ŋ
擒	kʰ ɐ˨˩ m
擔	t aː˥ m
擔	t aː˧ m
擘	m aː˧ k̚
據	k ɵɥ˧
擝	m ɐ˥ ŋ
擠	ts ɐi˥
擦	tsʰ aː˧ t̚
擬	j iː˨˩
擬	j iː˨˧
擰	l ɪ˨˥ ŋ
擰	n ɪ˨ ŋ
擴	kʷʰ ɔː˧ ŋ
擸	l aː˧ p̚
擸	l aː˨ p̚
擸	l iː˨ p̚
擺	p aːj˨˥
擾	j iːw˨˥
擾	j iːw˨˧
攀	pʰ aː˥ n
攔	l aː˨˩ n
攝	s iː˧ p̚
攞	l ɔː˨˥
攣	l yː˥ n
攤	tʰ aː˥ n
攪	k aːw˨˥
攬	l aː˨˥ m
支	ts iː˥
攰	k uːj˨
收	s ɐw˥
改	k ɔːj˨˥
攻	k ʊ˥ ŋ
放	f ɔː˧ ŋ
政	ts ɪ˧ ŋ
故	k uː˨˥
故	k uː˧
效	h aːw˨
敏	m ɐ˨˧ n
救	k ɐw˧
敗	p aːj˨
教	k aːw˧
敢	k ɐ˨˥ m
散	s aː˨˥ n
散	s aː˧ n
敦	t ɵ˥ n
敬	k ɪ˧ ŋ
敲	h aːw˥
整	ts ɪ˨˥ ŋ
敵	t ɪ˨ k̚
敷	f uː˥
數	s ow˨˥
數	s ow˧
斂	l iː˨˧ m
文	m ɐ˨˥ n
文	m ɐ˨˩ n
料	l iːw˨˥
料	l iːw˨
斜	tsʰ ɛː˧
斜	tsʰ ɛː˨˩
斤	k ɐ˥ n
斬	ts aː˨˥ m
新	s ɐ˥ n
斷	t yː˧ n
斷	t yː˨ n
斷	tʰ yː˨˧ n
方	f ɔː˥ ŋ
於	j yː˥
施	s iː˥
旁	pʰ ɔː˨˩ ŋ
旅	l ɵɥ˨˧
旋	s yː˨˩ n
族	ts ʊ˨ k̚
旗	kʰ ej˨˩
既	k ej˧
日	j ɐ˨ t̚
旦	t aː˧ n
旨	ts iː˨˥
早	ts ow˨˥
旺	w ɔː˨ ŋ
昆	kʷʰ ɐ˥ n
明	m ɪ˨˩ ŋ
易	j iː˨
易	j ɪ˨ k̚
昔	s ɪ˥ k̚
星	s ɪ˥ ŋ
映	j ɪ˨˥ ŋ
春	tsʰ ɵ˥ n
昧	m uːj˨
是	s iː˨
時	s iː˨˩
晏	aː˧ n
晒	s aːj˧
晚	m aː˥ n
晚	m aː˨˧ n
晝	ts ɐw˧
晨	s ɐ˨˩ n
普	pʰ ow˨˥
景	k ɪ˨˥ ŋ
晰	s ɪ˥ k̚
晶	ts ɪ˥ ŋ
智	ts iː˧
晾	l ɔː˨ ŋ
暈	w ɐ˨˩ n
暑	s yː˨˥
暖	n yː˨˧ n
暗	ɐ˧ m
暢	tsʰ œː˧ ŋ
暪	m uː˨˧ n
暫	ts aː˨ m
暮	m ow˨
暴	p ow˨
暴	p ʊ˨ k̚
暸	l iːw˨˩
暸	l iːw˨˧
曇	tʰ aː˨˩ m
曉	h iːw˨˥
曬	s aːj˧
曲	kʰ ʊ˥ k̚
更	k aː˥ ŋ
更	k ɐ˥ ŋ
更	k ɐ˧ ŋ
書	s yː˥
曹	tsʰ ow˨˩
曼	m aː˨ n
曾	tsʰ ɐ˨˩ ŋ
曾	ts ɐ˥ ŋ
替	tʰ ɐi˧
最	ts ɵɥ˧
會	w uːj˨˥
會	w uːj˨˧
會	w uːj˨
月	j yː˨ t̚
有	j ɐw˨˧
朋	pʰ ɐ˨˩ ŋ
服	f ʊ˨ k̚
朕	ts ɐ˨ m
朗	l ɔː˨˧ ŋ
望	m ɔː˨ ŋ
朝	tsʰ iːw˨˩
朝	ts iːw˥
期	kʰ ej˨˩
木	m ʊ˨ k̚
未	m ej˨
末	m uː˨ t̚
本	p uː˨˥ n
朽	n ɐw˨˥
李	l ej˨˧
材	tsʰ ɔːj˨˩
村	tsʰ yː˥ n
杜	t ow˨
杞	k ej˨˥
束	tsʰ ʊ˥ k̚
杭	h ɔː˨˩ ŋ
杯	p uːj˥
杰	k iː˨ t̚
東	t ʊ˥ ŋ
松	tsʰ ʊ˨˩ ŋ
板	p aː˨˥ n
枉	w ɔː˨˥ ŋ
析	s ɪ˥ k̚
枕	ts ɐ˨˥ m
林	l ɐ˨˩ m
果	kʷ ɔː˨˥
枝	ts iː˥
枯	f uː˥
枱	tʰ ɔːj˨˥
架	k aː˨˥
架	k aː˧
柄	p ɛː˧ ŋ
柏	p aː˧ k̚
柏	pʰ aː˧ k̚
某	m ɐw˨˧
柑	k ɐ˥ m
柒	tsʰ ɐ˥ t̚
柒	tsʰ ɐ˨ t̚
染	j iː˨˧ m
柔	j ɐw˨˩
柚	j ɐw˨˥
查	tsʰ aː˨˩
柱	tsʰ yː˨˧
柳	l ɐw˨˧
柴	tsʰ aːj˨˩
査	tsʰ aː˨˩
査	ts aː˥
校	k aːw˧
校	h aːw˨
核	h ɐ˨ t̚
核	w ɐ˨ t̚
根	k ɐ˥ n
格	k aː˧ k̚
桂	kʷ ɐi˧
框	kʷʰ aː˥ ŋ
案	ɔː˧ n
桔	k ɐ˥ t̚
桶	tʰ ʊ˨˥ ŋ
桿	k ɔː˥ n
桿	k ɔː˧ n
梁	l œː˨˩ ŋ
梅	m uːj˨˥
梅	m uːj˨˩
梗	k ɐ˨˥ ŋ
條	tʰ iːw˨˥
條	tʰ iːw˨˩
梧	ŋ̍˨˩
梧	ŋ̍˨
梨	l ej˨˩
梯	tʰ ɐi˥
械	h aːj˨
梳	s ɔː˥
棄	h ej˧
棍	kʷ ɐ˧ n
棒	pʰ aː˨˧ ŋ
棘	k ɪ˥ k̚
棘	kʰ ɪ˥ k̚
棚	pʰ aː˨˩ ŋ
棟	t ʊ˨ ŋ
森	s ɐ˥ m
棱	l ɪ˨˩ ŋ
棺	k uː˥ n
植	ts ɪ˨ k̚
椒	ts iːw˥
椰	j ɛː˨˩
楚	tsʰ ɔː˨˥
業	j iː˨ p̚
極	k ɪ˨ k̚
楷	kʰ aːj˨˥
概	kʰ ɔːj˧
榜	p ɔː˨˥ ŋ
榮	w ɪ˨˩ ŋ
構	k ɐw˧
構	kʰ ɐw˧
槍	tsʰ œː˥ ŋ
樂	l ɔː˨ k̚
樂	ŋ ɔː˨ k̚
樑	l œː˨˥ ŋ
樑	l œː˨˩ ŋ
樓	l ɐw˨˥
樓	l ɐw˨˩
樖	pʰ ɔː˥
標	p iːw˥
樞	s yː˥
模	m ow˨˥
模	m ow˨˩
樣	j œː˨˥ ŋ
樣	j œː˨ ŋ
樹	s yː˨
樽	ts ɵ˥ n
橋	kʰ iːw˨˥
橋	kʰ iːw˨˩
機	k ej˥
橫	w aː˨˩ ŋ
檔	t ɔː˨˥ ŋ
檔	t ɔː˧ ŋ
檢	k iː˨˥ m
櫃	kʷ ɐi˨
櫳	l ʊ˨˥ ŋ
櫳	l ʊ˨˩ ŋ
權	kʰ yː˨˩ n
次	tsʰ iː˧
欣	j ɐ˥ n
欲	j ʊ˨ k̚
欺	h ej˥
款	f uː˨˥ n
歉	h iː˧ p̚
歌	k ɔː˥
歎	tʰ aː˧ n
歐	ɐw˥
歡	f uː˥ n
止	ts iː˨˥
正	ts ɛː˧ ŋ
正	ts ɪ˥ ŋ
正	ts ɪ˧ ŋ
此	tsʰ iː˨˥
步	p ow˨
武	m ow˨˧
歧	kʰ ej˨˩
歪	m ɛː˨˥
歪	w aːj˥
歲	s ɵɥ˧
歷	l ɪ˨ k̚
歸	kʷ ɐi˥
死	s ej˥
死	s ej˨˥
殊	s yː˨˩
殖	ts ɪ˨ k̚
殘	tsʰ aː˨˩ n
段	t yː˨ n
殺	s aː˧ t̚
殼	h ɔː˧ k̚
毀	w ɐi˨˥
毋	m ow˨˩
母	m ow˨˥
母	m ow˨˧
每	m uːj˨˧
毒	t ʊ˨ k̚
比	p ej˨˥
毛	m ow˨˩
毫	h ow˨˩
氏	s iː˨
民	m ɐ˨˩ n
氣	h ej˧
水	s ɵɥ˨˥
永	w ɪ˨˧ ŋ
汁	ts ɐ˥ p̚
求	kʰ ɐw˨˩
汕	s aː˧ n
汗	h ɔː˨ n
江	k ɔː˥ ŋ
污	w uː˥
汪	w ɔː˥ ŋ
決	kʰ yː˧ t̚
汽	h ej˧
沃	j ʊ˥ k̚
沈	s ɐ˨˥ m
沉	tsʰ ɐ˨˩ m
沊	t ɐ˨˥ m
沒	m uː˨ t̚
沓	t aː˨ p̚
沖	tsʰ ʊ˥ ŋ
沙	s aː˥
沫	m uː˧ t̚
沫	m uː˨ t̚
沮	ts ɵɥ˥
沮	ts ɵɥ˨˥
河	h ɔː˨˩
沸	f ɐi˧
油	j ɐw˨˥
油	j ɐw˨˩
治	ts iː˨
沿	j yː˨˩ n
況	f ɔː˧ ŋ
泉	tsʰ yː˨˩ n
法	f aː˧ t̚
泛	f aː˧ n
泛	f aː˨ n
泡	pʰ aːw˥
泡	pʰ aːw˧
泡	pʰ ow˨˧
波	p ɔː˥
泥	n ɐi˨˩
注	ts yː˧
泰	tʰ aːj˧
泳	w ɪ˨ ŋ
洋	j œː˨˩ ŋ
洗	s ɐi˨˥
洛	l ɔː˨ k̚
洞	t ʊ˨ ŋ
洩	s iː˧ t̚
洪	h ʊ˨˩ ŋ
洲	ts ɐw˥
活	w uː˨ t̚
派	pʰ aːj˥
派	pʰ aːj˧
流	l ɐw˨˩
浙	ts iː˧ t̚
浩	h ow˨
浪	l ɔː˨ ŋ
浮	f ɐw˨˩
海	h ɔːj˨˥
浸	ts ɐ˧ m
消	s iːw˥
涉	s iː˧ p̚
涌	tsʰ ʊ˥ ŋ
液	j ɪ˨ k̚
涵	h aː˨˩ m
涼	l œː˨˩ ŋ
淘	tʰ ow˨˩
淚	l ɵɥ˨
淡	t aː˨ m
淡	tʰ aː˨˧ m
淨	ts ɛː˨ ŋ
淨	ts ɪ˨ ŋ
淩	l ɪ˨˩ ŋ
淪	l ɵ˨˩ n
淫	j ɐ˨˩ m
深	s ɐ˥ m
混	w ɐ˨ n
淺	tsʰ iː˨˥ n
添	tʰ iː˥ m
清	tsʰ ɪ˥ ŋ
減	k aː˨˥ m
渠	kʰ ɵɥ˨˩
渣	ts aː˥
温	w ɐ˥ n
測	tsʰ aː˥ k̚
測	tsʰ ɐ˥ k̚
港	k ɔː˨˥ ŋ
渴	h ɔː˧ t̚
游	j ɐw˨˩
渺	m iːw˨˧
渾	w ɐ˨˩ n
渾	w ɐ˨ n
湖	w uː˨˩
湘	s œː˥ ŋ
湯	tʰ ɔː˥ ŋ
溏	tʰ ɔː˨˩ ŋ
源	j yː˨˩ n
準	ts ɵ˨˥ n
溜	l ɐw˥
溜	l ɐw˨˩
溜	l ɐw˨
溝	kʰ ɐw˥
溪	kʰ ɐi˥
溫	w ɐ˥ n
溶	j ʊ˨˩ ŋ
溺	n ɪ˥ k̚
滅	m iː˨ t̚
滋	ts iː˥
滑	w aː˨ t̚
滔	tʰ ow˥
滘	k aːw˧
滯	ts ɐi˨
滲	s ɐ˧ m
滴	t ɪ˨ k̚
滸	w uː˨˥
滿	m uː˨˧ n
漁	j yː˨˩
漂	pʰ iːw˥
漏	l ɐw˨
演	j iː˨˥ n
漠	m ɔː˨ k̚
漢	h ɔː˧ n
漫	m aː˨ n
漲	ts œː˧ ŋ
潑	pʰ uː˧ t̚
潔	k iː˧ t̚
潛	tsʰ iː˨˩ m
潤	j ɵ˨ n
潦	l iːw˨˥
潦	l iːw˨˩
潦	l iːw˨˧
潦	l ow˨˧
潦	l ow˨
潮	tsʰ iːw˨˩
潰	kʰ uːj˨˥
潺	s aː˨˩ n
澳	ow˧
激	k ɪ˥ k̚
濁	ts ʊ˨ k̚
濃	n ʊ˨˩ ŋ
濕	s ɐ˥ p̚
濟	ts ɐi˧
濫	l aː˨˧ m
濫	l aː˨ m
濾	l ɵɥ˨
瀏	l ɐw˨˩
瀨	l aːj˨
灘	tʰ aː˥ n
灣	w aː˥ n
灣	w aː˨˩ n
火	f ɔː˨˥
灰	f uːj˥
灼	tsʰ œː˧ k̚
災	ts ɔːj˥
炒	tsʰ aːw˨˥
炫	j yː˨˩ n
炮	pʰ aːw˧
炸	ts aː˧
為	w ɐi˨˩
為	w ɐi˨
烏	w uː˥
烤	h aːw˥
焉	j iː˥ n
焉	j iː˨˩ n
無	m ow˨˩
焦	ts iːw˥
然	j iː˨˩ n
煉	l iː˨ n
煌	w ɔː˨˩ ŋ
煎	ts iː˥ n
煙	j iː˥ n
煤	m uːj˨˩
照	ts iːw˧
煩	f aː˨˩ n
煮	ts yː˨˥
煲	p ow˥
熒	j ɪ˨˩ ŋ
熟	s ʊ˨ k̚
熱	j iː˨ t̚
燃	j iː˨˩ n
燈	t ɐ˥ ŋ
燎	l iːw˨˩
燒	s iːw˥
燙	tʰ ɔː˧ ŋ
營	j ɪ˨˩ ŋ
燥	tsʰ ow˧
燦	tsʰ aː˧ n
燭	ts ʊ˥ k̚
燴	w uːj˨
爆	p aːw˧
爐	l ow˨˩
爛	l aː˨ n
爬	pʰ aː˨˩
爭	ts aː˥ ŋ
爭	ts ɐ˥ ŋ
爲	w ɐi˨˩
爲	w ɐi˨
父	f uː˨
爸	p aː˥
爸	p aː˨˩
爺	j ɛː˨˩
爽	s ɔː˨˥ ŋ
爾	j iː˨˧
牀	tsʰ ɔː˨˩ ŋ
牆	tsʰ œː˨˩ ŋ
牆	tsʰ œː˨˧ ŋ
片	pʰ iː˨˥ n
片	pʰ iː˧ n
版	p aː˨˥ n
牌	pʰ aːj˨˥
牌	pʰ aːj˨˩
牙	ŋ aː˨˩
牛	ŋ ɐw˨˩
牧	m ʊ˨ k̚
物	m ɐ˨ t̚
牲	s ɐ˥ ŋ
特	t ɐ˨ k̚
牽	h iː˥ n
犀	s ɐi˥
犢	t ʊ˨ k̚
犧	h ej˥
犯	f aː˨ n
狀	ts ɔː˨ ŋ
狂	kʷʰ ɔː˨˩ ŋ
狗	k ɐw˨˥
狼	l ɔː˨˩ ŋ
猛	m aː˨˧ ŋ
猜	tsʰ aːj˥
猩	s ɪ˥ ŋ
猬	w ɐi˨
猶	j ɐw˨˩
獄	j ʊ˨ k̚
獅	s iː˥
獎	ts œː˨˥ ŋ
獎	ts œː˧ ŋ
獨	t ʊ˨ k̚
獲	w ɔː˨ k̚
獸	s ɐw˧
獻	h iː˧ n
玄	j yː˨˩ n
率	l ɵ˨˥ t̚
率	l ɵ˨ t̚
率	s ɵ˥ t̚
玉	j ʊ˨ k̚
王	w ɔː˨˩ ŋ
玩	w aː˨˥ n
玩	w uː˨ n
玫	m uːj˨˩
玲	l ɪ˨˩ ŋ
玻	p ɔː˥
珍	ts ɐ˥ n
珠	ts yː˥
班	p aː˥ n
現	j iː˨ n
球	kʰ ɐw˨˩
理	l ej˨˧
琪	kʰ ej˨˩
琴	kʰ ɐ˨˩ m
琵	pʰ ej˨˩
琶	pʰ aː˨˩
瑋	w ɐi˨˧
瑛	j ɪ˥ ŋ
瑞	s ɵɥ˨
瑤	j iːw˨˩
瑩	j ɪ˨˩ ŋ
瑪	m aː˨˧
瑰	kʷ ɐi˧
璃	l ej˥
璃	l ej˨˩
璧	p ɪ˥ k̚
環	w aː˨˩ n
瓜	kʷ aː˥
瓣	f aː˨ n
甘	k ɐ˥ m
甚	s ɐ˨ m
甜	tʰ iː˨˩ m
生	s aː˥ ŋ
生	s ɐ˥ ŋ
產	tsʰ aː˨˥ n
用	j ʊ˨ ŋ
甩	l ɐ˥ t̚
田	tʰ iː˨˩ n
由	j ɐw˨˥
由	j ɐw˨˩
甲	k aː˧ p̚
申	s ɐ˥ n
男	n aː˨˩ m
畀	p ej˨˥
界	k aːj˧
留	l ɐw˥
留	l ɐw˨˩
畢	p ɐ˥ t̚
略	l œː˨ k̚
番	f aː˥ n
番	pʰ uː˥ n
畫	w aː˨˥
畫	w aː˨
畫	w aː˨ k̚
異	j iː˨
當	t ɔː˥ ŋ
當	t ɔː˧ ŋ
疊	t aː˨ p̚
疊	t iː˨ p̚
疏	s ɔː˥
疑	j iː˨˩
疫	j ɪ˨ k̚
疾	ts ɐ˨ t̚
病	p ɛː˨ ŋ
症	ts ɪ˥ ŋ
症	ts ɪ˧ ŋ
痕	h ɐ˨˩ n
痛	tʰ ʊ˧ ŋ
痴	tsʰ iː˥
痾	ɔː˥
瘁	s ɵɥ˨˧
瘁	s ɵɥ˨
瘋	f ʊ˥ ŋ
瘟	w ɐ˥ n
瘡	tsʰ ɔː˥ ŋ
瘦	s ɐw˧
瘴	ts œː˧ ŋ
療	l iːw˨˩
癌	ŋ aː˨˩ m
癡	tsʰ iː˥
癢	j œː˨˧ ŋ
癩	l aːj˧
癩	l aːj˨˩
癮	j ɐ˨˧ n
癱	tʰ aː˥ n
癲	t iː˥ n
登	t ɐ˥ ŋ
發	f aː˧ t̚
白	p aː˨ k̚
百	p aː˧ k̚
的	t ɪ˥ k̚
皆	k aːj˥
皇	w ɔː˨˩ ŋ
皮	pʰ ej˨˥
皮	pʰ ej˨˩
皺	ts ɐw˧
盃	p uːj˥
益	j ɪ˥ k̚
盒	h ɐ˨˥ p̚
盒	h ɐ˨ p̚
盔	kʷʰ ɐi˥
盛	s ɪ˨ ŋ
盜	t ow˨
盞	ts aː˨˥ n
盡	ts ɵ˨ n
監	k aː˥ m
監	k aː˧ m
盤	pʰ uː˨˥ n
盤	pʰ uː˨˩ n
目	m ʊ˨ k̚
盲	m aː˨˩ ŋ
直	ts ɪ˨ k̚
相	s œː˥ ŋ
相	s œː˨˥ ŋ
相	s œː˧ ŋ
盾	tʰ ɵ˨˧ n
省	s aː˨˥ ŋ
省	s ɪ˨˥ ŋ
眉	m ej˨˩
看	h ɔː˥ n
看	h ɔː˧ n
眞	ts ɐ˥ n
真	ts ɐ˥ n
眠	m iː˨˩ n
眼	ŋ aː˨˧ n
眾	ts ʊ˧ ŋ
着	ts œː˧ k̚
着	ts œː˨ k̚
睇	tʰ ɐi˨˥
睡	s ɵɥ˨
督	t ʊ˥ k̚
睬	tsʰ ɔːj˨˥
瞄	m iːw˨˩
瞌	h ɐ˥ p̚
瞓	f ɐ˧ n
矇	m ʊ˨˩ ŋ
矛	m aːw˨˩
矜	k ɪ˥ ŋ
知	ts iː˥
知	ts iː˧
矩	k ɵɥ˨˥
短	t yː˨˥ n
石	s ɛː˨ k̚
砌	tsʰ ɐi˧
研	j iː˨˩ n
砲	pʰ aːw˧
破	pʰ ɔː˧
硬	ŋ aː˨˥ ŋ
硬	ŋ aː˨ ŋ
碌	l ʊ˥ k̚
碎	s ɵɥ˧
碗	w uː˨˥ n
碟	t iː˨˥ p̚
碟	t iː˨ p̚
碧	p ɪ˥ k̚
碰	pʰ ʊ˧ ŋ
確	kʰ ɔː˧ k̚
碼	m aː˨˧
磁	tsʰ iː˨˩
磅	p ɔː˨ ŋ
磨	m ɔː˨˩
礎	tsʰ ɔː˨˥
礙	ŋ ɔːj˨
礦	kʷʰ ɔː˧ ŋ
示	s iː˨
社	s ɛː˨˧
祁	kʰ ej˨˩
祈	kʰ ej˨˩
祐	j ɐw˨
祕	p ej˧
祖	ts ow˨˥
祝	ts ʊ˥ k̚
神	s ɐ˨˥ n
神	s ɐ˨˩ n
祥	tsʰ œː˨˩ ŋ
票	pʰ iːw˧
祭	ts ɐi˧
禁	k ɐ˧ m
禍	w ɔː˨˧
禍	w ɔː˨
福	f ʊ˥ k̚
禮	l ɐi˨˧
禱	tʰ ow˨˥
禺	j yː˨˩
禾	w ɔː˨˩
私	s iː˥
秋	tsʰ ɐw˥
科	f ɔː˥
秒	m iːw˨˧
秘	p ej˧
租	ts ow˥
秤	tsʰ ɪ˧ ŋ
秤	pʰ ɪ˨˩ ŋ
秦	tsʰ ɵ˨˩ n
移	j iː˨˩
稀	h ej˥
稅	s ɵɥ˧
程	tsʰ ɪ˨˩ ŋ
稍	s aːw˨˥
稚	ts iː˨
種	ts ʊ˨˥ ŋ
種	ts ʊ˧ ŋ
稱	tsʰ ɪ˥ ŋ
稱	tsʰ ɪ˧ ŋ
稿	k ow˨˥
穀	k ʊ˥ k̚
穌	s ow˥
積	ts ɪ˥ k̚
穏	w ɐ˨˥ n
穩	w ɐ˨˥ n
究	k ɐw˧
空	h ʊ˥ ŋ
穿	tsʰ yː˥ n
突	t ɐ˨ t̚
窄	ts aː˧ k̚
窒	ts ɐ˨ t̚
窗	tsʰ œː˥ ŋ
窩	w ɔː˥
窮	kʰ ʊ˨˩ ŋ
窿	l ʊ˥ ŋ
竇	t ɐw˧
竇	t ɐw˨
竊	s iː˧ t̚
立	l aː˨ p̚
立	l ɐ˨ p̚
站	ts aː˨ m
竟	k ɪ˨˥ ŋ
章	ts œː˥ ŋ
童	tʰ ʊ˨˩ ŋ
竭	kʰ iː˧ t̚
端	t yː˥ n
競	k ɪ˧ ŋ
競	k ɪ˨ ŋ
竹	ts ʊ˥ k̚
竺	ts ʊ˥ k̚
笈	kʰ ɐ˥ p̚
笑	s iːw˧
笛	t ɛː˨˥ k̚
笠	l ɐ˥ p̚
笠	l ɐ˨ p̚
符	f uː˨˩
笨	p ɐ˨ n
笪	t aː˧ t̚
第	t ɐi˨
筆	p ɐ˥ t̚
等	t ɐ˨˥ ŋ
筋	k ɐ˥ n
筍	s ɵ˨˥ n
筒	tʰ ʊ˨˥ ŋ
答	t aː˧ p̚
策	tsʰ aː˧ k̚
筷	f aːj˧
箇	k ɔː˧
算	s yː˧ n
管	k uː˨˥ n
箭	ts iː˧ n
箱	s œː˥ ŋ
節	ts iː˧ t̚
範	f aː˨ n
篇	pʰ iː˥ n
築	ts ʊ˥ k̚
篡	s aː˧ n
篤	t ʊ˥ k̚
篼	t ɐw˥
簡	k aː˨˥ n
簽	tsʰ iː˥ m
簾	l iː˨˥ m
簾	l iː˨˩ m
簿	p ow˨˥
籃	l aː˨˩ m
籌	tsʰ ɐw˨˩
籍	ts ɪ˨ k̚
籠	l ʊ˨˩ ŋ
籠	l ʊ˨˧ ŋ
籬	l ej˨˩
籲	j yː˨
米	m ɐi˨˧
籽	ts iː˨˥
粉	f ɐ˨˥ n
粒	l ɐ˥ p̚
粒	n ɐ˥ p̚
粗	tsʰ ow˥
粘	n iː˥ m
粘	n iː˨˩ m
粘	ts iː˥ m
粥	ts ʊ˥ k̚
粵	j yː˨ t̚
